----------Northern Regional Power Committee----------,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,State,Regional_Group,Source_File,Master_Dataset_Created,Total_Records,Region
Stn_Name,Stn_DC_Date,DC1,DC2,DC3,DC4,DC5,DC6,DC7,DC8,DC9,DC10,DC11,DC12,DC13,DC14,DC15,DC16,DC17,DC18,DC19,DC20,DC21,DC22,DC23,DC24,DC25,DC26,DC27,DC28,DC29,DC30,DC31,DC32,DC33,DC34,DC35,DC36,DC37,DC38,DC39,DC40,DC41,DC42,DC43,DC44,DC45,DC46,DC47,DC48,DC49,DC50,DC51,DC52,DC53,DC54,DC55,DC56,DC57,DC58,DC59,DC60,DC61,DC62,DC63,DC64,DC65,DC66,DC67,DC68,DC69,DC70,DC71,DC72,DC73,DC74,DC75,DC76,DC77,DC78,DC79,DC80,DC81,DC82,DC83,DC84,DC85,DC86,DC87,DC88,DC89,DC90,DC91,DC92,DC93,DC94,DC95,DC96,Unknown,Unknown,Supporting_files_110825-170825_WK20.csv,2025-09-04T17:31:08.973989,2013,NRLDC
ADHPL,11-08-2025,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,148.78,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,Rajasthan,Western,Supporting_files_110825-170825_WK20.csv,2025-09-04T17:31:08.973989,2013,NRLDC
ADHPL,12-08-2025,190.24,190.24,190.24,190.24,190.24,190.24,190.24,190.24,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,152.44,190.24,190.24,190.24,190.24,190.24,190.24,190.24,190.24,190.24,190.24,190.24,190.24,190.24,190.24,190.24,190.24,190.24,190.24,190.24,190.24,190.24,190.24,190.24,190.24,Rajasthan,Western,Supporting_files_110825-170825_WK20.csv,2025-09-04T17:31:08.973989,2013,NRLDC
ADHPL,13-08-2025,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,176.83,176.83,176.83,176.83,176.83,176.83,176.83,176.83,176.83,176.83,176.83,176.83,176.83,176.83,176.83,176.83,176.83,176.83,176.83,176.83,158.54,158.54,158.54,158.54,158.54,158.54,158.54,158.54,158.54,158.54,158.54,158.54,158.54,158.54,158.54,158.54,158.54,158.54,158.54,158.54,158.54,158.54,158.54,158.54,158.54,158.54,158.54,158.54,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,Rajasthan,Western,Supporting_files_110825-170825_WK20.csv,2025-09-04T17:31:08.973989,2013,NRLDC
ADHPL,14-08-2025,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,176.83,176.83,176.83,176.83,176.83,176.83,176.83,176.83,176.83,176.83,176.83,176.83,176.83,176.83,176.83,176.83,176.83,176.83,176.83,176.83,156.1,156.1,156.1,156.1,156.1,156.1,156.1,156.1,156.1,156.1,156.1,156.1,156.1,156.1,156.1,156.1,156.1,156.1,156.1,156.1,156.1,156.1,156.1,156.1,156.1,156.1,156.1,156.1,156.1,156.1,156.1,156.1,156.1,156.1,156.1,156.1,156.1,156.1,156.1,156.1,184.15,184.15,184.15,184.15,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,Rajasthan,Western,Supporting_files_110825-170825_WK20.csv,2025-09-04T17:31:08.973989,2013,NRLDC
ADHPL,15-08-2025,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,160.98,160.98,160.98,160.98,160.98,160.98,160.98,160.98,160.98,160.98,160.98,160.98,160.98,160.98,160.98,160.98,160.98,160.98,160.98,160.98,154.88,154.88,154.88,154.88,154.88,154.88,154.88,154.88,154.88,154.88,154.88,154.88,160.98,160.98,160.98,160.98,160.98,160.98,160.98,160.98,160.98,160.98,160.98,160.98,160.98,160.98,160.98,160.98,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,Rajasthan,Western,Supporting_files_110825-170825_WK20.csv,2025-09-04T17:31:08.973989,2013,NRLDC
ADHPL,16-08-2025,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,169.51,169.51,169.51,169.51,169.51,169.51,169.51,169.51,169.51,169.51,169.51,169.51,169.51,169.51,169.51,169.51,169.51,169.51,169.51,169.51,169.51,169.51,169.51,169.51,169.51,169.51,169.51,169.51,169.51,169.51,169.51,169.51,169.51,169.51,169.51,169.51,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,Rajasthan,Western,Supporting_files_110825-170825_WK20.csv,2025-09-04T17:31:08.973989,2013,NRLDC
ADHPL,17-08-2025,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,162.2,162.2,162.2,162.2,162.2,162.2,162.2,162.2,162.2,162.2,162.2,162.2,162.2,162.2,162.2,162.2,162.2,162.2,162.2,162.2,162.2,162.2,162.2,162.2,162.2,162.2,162.2,162.2,162.2,162.2,162.2,162.2,189.02,189.02,189.02,189.02,189.02,189.02,189.02,189.02,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,208.41,Rajasthan,Western,Supporting_files_110825-170825_WK20.csv,2025-09-04T17:31:08.973989,2013,NRLDC
ANTA CRF,11-08-2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rajasthan,Western,Supporting_files_110825-170825_WK20.csv,2025-09-04T17:31:08.973989,2013,NRLDC
ANTA CRF,12-08-2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rajasthan,Western,Supporting_files_110825-170825_WK20.csv,2025-09-04T17:31:08.973989,2013,NRLDC
