Date,Time,Block,Freq(Hz),Constituents,Actual (MWH),Schedule (MWH),SRAS (MWH),Deviation(MWH),Deviation (%),DSM Payable (Rs.),DSM Receivable (Rs.),Normal Rate (p/Kwh),Wt. Avg. Hybrid Rate (p/Kwh),HPDAM Ref. Rate (p/Kwh),HPDAM Normal Rate (p/Kwh),Unnamed: 16,Source_File,Processing_Date
2025-08-18,00:00,1,49.88,ACBIL,146.836362,149.9,0.0,-3.063638,-2.0438,7658.23,0.0,497.45,166.65,497.45,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,00:15,2,49.91,ACBIL,147.272726,149.9,0.0,-2.627274,-1.7527,6006.68,0.0,446.96,159.99,446.96,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,00:30,3,49.96,ACBIL,147.41818,149.9,0.0,-2.48182,-1.6557,4230.33,0.0,444.9,159.08,444.9,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,00:45,4,50.0,ACBIL,147.054544,149.9,0.0,-2.845456,-1.8982,4376.09,0.0,439.59,153.79,439.59,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,01:00,5,49.99,ACBIL,147.41818,149.9,0.0,-2.48182,-1.6557,3812.29,0.0,447.23,153.61,447.23,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,01:15,6,49.98,ACBIL,147.199999,149.9,0.0,-2.700001,-1.8012,4105.89,0.0,435.72,152.07,435.72,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,01:30,7,49.96,ACBIL,146.90909,149.9,0.0,-2.99091,-1.9953,4940.12,0.0,450.96,154.15,450.96,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,01:45,8,50.0,ACBIL,147.563635,149.9,0.0,-2.336365,-1.5586,3586.14,0.0,451.74,153.49,451.74,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,02:00,9,49.98,ACBIL,147.490907,149.9,0.0,-2.409093,-1.6071,3650.99,0.0,429.97,151.55,429.97,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,02:15,10,49.97,ACBIL,146.61818,149.9,0.0,-3.28182,-2.1893,4966.35,0.0,415.37,151.33,415.37,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,02:30,11,49.97,ACBIL,147.127271,149.9,0.0,-2.772729,-1.8497,4195.93,0.0,405.61,151.33,405.61,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,02:45,12,49.99,ACBIL,147.199998,149.9,0.0,-2.700002,-1.8012,4091.85,0.0,401.36,151.55,401.36,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,03:00,13,49.93,ACBIL,147.563634,149.9,0.0,-2.336366,-1.5586,4221.18,0.0,383.93,140.49,383.93,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,03:15,14,49.9,ACBIL,147.709089,149.9,0.0,-2.190911,-1.4616,4592.02,0.0,384.37,139.73,384.37,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,03:30,15,49.83,ACBIL,147.999999,149.9,0.0,-1.900001,-1.2675,3971.19,0.0,396.36,139.34,396.36,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,03:45,16,49.84,ACBIL,148.436362,149.9,0.0,-1.463638,-0.9764,3043.92,0.0,392.83,138.65,392.83,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,04:00,17,49.92,ACBIL,148.436362,149.925,0.0,-1.488638,-0.9929,2798.77,0.0,398.44,138.5,398.44,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,04:15,18,49.99,ACBIL,148.509089,149.925,0.0,-1.415911,-0.9444,1954.08,0.0,349.99,138.01,349.99,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,04:30,19,49.97,ACBIL,148.945453,149.925,0.0,-0.979547,-0.6534,1351.91,0.0,404.87,138.02,404.87,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,04:45,20,50.0,ACBIL,147.272726,149.925,0.0,-2.652274,-1.7691,3660.97,0.0,427.91,138.03,427.91,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,05:00,21,50.02,ACBIL,148.290907,149.95,0.0,-1.659093,-1.1064,2301.84,0.0,421.77,138.74,421.77,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,05:15,22,50.02,ACBIL,148.799998,149.95,0.0,-1.150002,-0.7669,1595.63,0.0,404.51,138.75,404.51,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,05:30,23,49.99,ACBIL,150.036362,149.95,0.0,0.086362,0.0576,0.0,120.14,413.19,139.05,413.19,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,05:45,24,49.97,ACBIL,149.745453,149.95,0.0,-0.204547,-0.1364,285.28,0.0,414.84,139.5,414.84,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,06:00,25,49.9,ACBIL,150.109089,150.025,0.0,0.084089,0.0561,0.0,133.46,432.54,137.99,432.54,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,06:15,26,49.8,ACBIL,149.090908,150.025,0.0,-0.934092,-0.6226,1949.56,0.0,438.49,139.14,438.49,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,06:30,27,49.92,ACBIL,147.345453,150.025,0.0,-2.679547,-1.7861,5049.83,0.0,439.88,138.83,439.88,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,06:45,28,50.01,ACBIL,146.90909,150.025,0.0,-3.11591,-2.0769,4294.96,0.0,385.2,137.84,385.2,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,07:00,29,49.99,ACBIL,147.854544,150.025,0.0,-2.170456,-1.4467,2966.21,0.0,371.38,136.66,371.38,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,07:15,30,50.0,ACBIL,148.50909,150.025,0.0,-1.51591,-1.0104,2043.89,0.0,349.91,134.83,349.91,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,07:30,31,50.04,ACBIL,149.01818,150.025,0.0,-1.00682,-0.6711,1229.77,0.0,318.74,132.05,318.74,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,07:45,32,50.01,ACBIL,148.872726,150.025,0.0,-1.152274,-0.7681,1506.63,0.0,317.07,130.75,317.07,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,08:00,33,49.9,ACBIL,145.309089,144.5,0.0,0.809089,0.5599,0.0,1172.29,305.5,125.99,305.5,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,08:15,34,49.95,ACBIL,141.454544,139.5,0.0,1.954544,1.4011,0.0,2531.46,344.73,124.18,344.73,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
2025-08-18,08:30,35,50.02,ACBIL,138.254544,139.5,0.0,-1.245456,-0.8928,1492.11,0.0,355.76,119.8,355.76,0.0,,extracted_ACBIL_DSM-2024_Data.csv,2025-09-04
